City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Domoni,-12.2569,44.5319,80.49,80,88,6.42,KM,1673196536
Junín,-34.5838,-60.9433,95.9,30,2,10.29,AR,1673196537
Plettenberg Bay,-34.0527,23.3716,72.01,70,28,7.16,ZA,1673196539
Buala,-8.145,159.5921,79.97,79,100,7.02,SB,1673196540
Esim,4.8699,-2.2405,83.07,72,49,10.58,GH,1673196541
Ilhabela,-23.7781,-45.3581,75.42,76,84,4.0,BR,1673196543
Tiznit Province,29.5833,-9.5,62.89,34,0,8.1,MA,1673196544
La Valette-du-Var,43.1374,5.9831,58.24,88,100,6.91,FR,1673196546
Chu,43.5983,73.7614,38.01,95,100,5.01,KZ,1673196259
Laureles,26.1092,-97.4941,71.58,94,100,12.66,US,1673196548
Alice Springs,-23.7,133.8833,62.15,100,100,17.27,AU,1673196550
Mahbūbābād,17.6167,80.0167,63.05,23,0,3.96,IN,1673196551
Vanimo,-2.6741,141.3028,77.45,89,100,0.58,PG,1673196553
Kandrian,-6.2167,149.55,78.08,86,100,2.57,PG,1673196554
Saldanha,-33.0117,17.9442,77.05,85,30,22.08,ZA,1673196555
Zhigansk,66.7697,123.3711,-17.39,97,100,13.98,RU,1673196557
Ziro,27.6333,93.8333,37.38,65,0,2.66,IN,1673196558
Corn Island,12.1694,-83.0418,79.68,76,28,15.86,NI,1673196559
Burnie,-41.0667,145.9167,55.71,92,19,4.88,AU,1673196561
Kissidougou,9.1848,-10.0999,92.93,15,47,8.79,GN,1673196562
Trairi,-3.2778,-39.2689,87.26,56,56,14.85,BR,1673196356
Bom Jesus,-9.0744,-44.3586,91.96,40,93,7.58,BR,1673196565
Umarga,17.8333,76.6167,66.16,19,0,9.89,IN,1673196566
Mae Sot,16.7167,98.5667,72.43,65,88,1.52,TH,1673196567
Ghanzi,-21.5667,21.7833,85.28,26,68,11.5,BW,1673196569
Saint-Leu,-21.15,55.2833,81.46,76,25,4.23,RE,1673196570
Malé,4.1748,73.5089,82.35,78,40,18.41,MV,1673196307
Egvekinot,66.3167,-179.1667,-6.66,89,58,9.53,RU,1673196572
Honningsvåg,70.9821,25.9704,20.95,79,75,29.93,NO,1673196574
Port Lincoln,-34.7333,135.8667,63.16,84,0,14.54,AU,1673196333
Mayor Pablo Lagerenza,-19.9309,-60.7718,101.1,20,3,5.3,PY,1673196576
Amurzet,47.6967,131.0981,7.21,96,100,4.07,RU,1673196577
Kawalu,-7.3817,108.2082,73.11,95,91,1.81,ID,1673196579
Mukhen,48.1,136.1,3.13,92,69,3.06,RU,1673196580
Bria,6.5423,21.9863,82.08,17,71,2.98,CF,1673196581
Hobyo,5.3505,48.5268,78.33,80,59,17.78,SO,1673196583
Teknāf,20.8624,92.3058,65.84,86,1,6.58,BD,1673196584
Dunedin,-45.8742,170.5036,51.64,89,16,10.63,NZ,1673196585
Provideniya,64.3833,-173.3,0.01,94,46,10.33,RU,1673196587
Coronado,32.6859,-117.1831,61.25,68,40,6.91,US,1673196588
Huanren,41.2647,125.3667,14.56,95,61,3.33,CN,1673196589
Kinsale,51.7075,-8.5306,42.17,93,75,14.97,IE,1673196591
Taligaman,8.9044,125.6558,71.28,98,100,2.01,PH,1673196592
Hambantota,6.1241,81.1185,77.14,75,14,16.46,LK,1673196593
Nanortalik,60.1432,-45.2371,27.61,79,100,8.41,GL,1673196595
Matagami,49.7502,-77.6328,12.31,85,100,12.66,CA,1673196596
Dzaoudzi,-12.7887,45.2699,82.29,78,100,4.61,YT,1673196597
Spornoye,50.8448,37.2913,7.32,89,2,1.5,RU,1673196599
Hondomachi-hondo,32.45,130.2,50.18,55,0,1.92,JP,1673196600
Riyadh,24.6877,46.7219,59.14,64,60,9.78,SA,1673196600
Zuwārah,32.9312,12.082,60.06,49,0,1.72,LY,1673196603
Berlevåg,70.8578,29.0864,19.4,69,100,30.53,NO,1673196604
Port Hardy,50.6996,-127.4199,41.18,93,75,12.66,CA,1673196606
Corinth,37.9407,22.9573,49.89,60,0,2.89,GR,1673196607
Usinsk,65.9939,57.5281,-35.37,100,35,4.94,RU,1673196609
Walvis Bay,-22.9575,14.5053,72.09,68,0,9.22,NA,1673196611
Arona,28.0996,-16.681,66.13,74,20,13.8,ES,1673196518
Wau,7.7029,27.9953,81.73,22,17,5.39,SS,1673196613
San Lorenzo,-25.3333,-57.5333,93.85,27,17,4.94,PY,1673196599
Mahon,39.8885,4.2658,61.36,94,40,20.71,ES,1673196616
Turukhansk,65.8167,87.9833,-36.53,94,15,6.2,RU,1673196617
Newport,51.5877,-2.9984,45.14,88,77,17.27,GB,1673196619
Kaduy,59.2,37.15,-17.37,97,6,3.98,RU,1673196620
Port-Gentil,-0.7193,8.7815,84.16,70,40,9.22,GA,1673196622
Itarema,-2.9248,-39.9167,87.94,54,65,16.22,BR,1673196623
Jalu,29.0331,21.5482,59.99,36,2,8.43,LY,1673196624
Collie,-33.3667,116.15,57.81,83,0,7.54,AU,1673196626
Idritsa,56.3316,28.8988,17.49,83,100,9.98,RU,1673196627
Kapit,2.0167,112.9333,73.6,100,100,1.88,MY,1673196628
Caconda,-13.7333,15.0667,63.75,85,98,6.13,AO,1673196630
Muros,42.7762,-9.0603,56.08,86,99,19.01,ES,1673196631
Tazovsky,67.4667,78.7,-15.39,98,99,11.43,RU,1673196632
Isla Mujeres,21.2311,-86.731,80.17,79,75,10.96,MX,1673196634
Trindade,-16.6494,-49.4889,78.55,90,100,6.73,BR,1673196635
Bahía Honda,22.9036,-83.1592,81.01,60,8,7.65,CU,1673196637
Kizhinga,51.8462,109.9097,-6.68,100,54,1.68,RU,1673196638
Guasdualito,7.2424,-70.7324,71.6,100,75,4.61,VE,1673196639
Labuhan,-6.8844,112.2051,77.18,87,80,8.79,ID,1673196641
Hamilton,39.1834,-84.5333,38.98,69,100,8.05,US,1673196573
Kutum,14.2,24.6667,67.66,16,36,8.16,SD,1673196643
Bubaque,11.2833,-15.8333,83.93,49,100,12.3,GW,1673196645
Stephenville,32.2207,-98.2023,53.15,42,0,8.05,US,1673196646
Bereda,43.2686,-7.5406,53.42,100,100,8.95,ES,1673196647
Teshie,5.5836,-0.1072,86.56,70,23,11.5,GH,1673196648
Kassala,15.451,36.4,79.41,26,0,9.17,SD,1673196650
São Geraldo do Araguaia,-6.4006,-48.555,83.73,75,88,0.92,BR,1673196651
Gbarnga,6.9956,-9.4722,96.67,16,2,3.89,LR,1673196652
Ntoum,0.3833,9.7833,79.77,82,90,4.72,GA,1673196654
Assiut,27.181,31.1837,62.78,44,3,8.05,EG,1673196375
Nālūt,30.3333,10.85,52.41,36,0,8.81,LY,1673196656
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,98.08,15,38,5.53,AR,1673196657
Oranjestad,12.524,-70.027,84.15,70,40,18.41,AW,1673196659
Constitución,-35.3333,-72.4167,70.29,59,10,9.8,CL,1673196565
Fredericton,45.9454,-66.6656,23.83,58,0,9.22,CA,1673196602
Noumea,-22.2763,166.4572,80.01,99,90,17.38,NC,1673196662
Dhārchula,29.85,80.5333,53.85,25,20,7.65,IN,1673196664
Yumen,40.2833,97.2,27.54,28,38,7.74,CN,1673196665
Zhezkazgan,47.8043,67.7144,-0.11,94,46,7.96,KZ,1673196666
Hirara,24.8,125.2833,68.74,62,87,14.34,JP,1673196668
Ştefăneşti,44.8667,24.9333,41.49,89,5,5.35,RO,1673196669
Mizque,-17.941,-65.3402,74.19,47,76,9.82,BO,1673196671
Carballo,43.213,-8.691,55.09,91,100,10.71,ES,1673196672
Dondo,-19.6094,34.7431,72.91,86,100,5.95,MZ,1673196673
Bilma,18.6853,12.9164,69.22,17,2,11.45,NE,1673196675
Puerto Escondido,15.85,-97.0667,84.0,42,0,4.94,MX,1673196542
Zhangye,38.9342,100.4517,29.28,23,40,3.27,CN,1673196677
Luwuk,-0.9516,122.7875,78.12,76,100,4.9,ID,1673196679
Kerepehi,-37.3,175.5333,67.05,82,89,7.72,NZ,1673196680
Kindu,-2.95,25.95,72.84,89,99,2.68,CD,1673196681
Nkhata Bay,-11.6066,34.2907,75.36,79,90,3.85,MW,1673196683
Pacific Grove,36.6177,-121.9166,54.73,92,0,5.75,US,1673196684
Nuevitas,21.5453,-77.2644,82.47,56,4,13.58,CU,1673196685
Taber,49.8167,-112.1518,32.85,83,100,13.8,CA,1673196687
Marsá Maţrūḩ,31.3525,27.2453,57.4,77,40,11.5,EG,1673196688
Najrān,17.4924,44.1277,63.25,59,0,4.72,SA,1673196689
Hailey,43.5196,-114.3153,29.88,86,40,5.75,US,1673196691
Montenegro,42.5,19.3,48.07,76,20,4.61,ME,1673196692
Turbo,8.0937,-76.7269,82.53,78,39,2.15,CO,1673196693
Linhares,-19.3911,-40.0722,78.85,81,100,7.23,BR,1673196694
Wonthaggi,-38.6044,145.5913,60.82,67,0,5.12,AU,1673196696
La Ronge,55.1001,-105.2842,12.45,85,100,6.91,CA,1673196697
Pangody,65.85,74.4859,-30.41,100,76,7.07,RU,1673196698
Kamenka,51.3223,42.7678,4.77,95,31,8.75,RU,1673196700
Vanavara,60.34,102.2797,-5.64,99,100,3.96,RU,1673196701
Makkah al Mukarramah,21.4267,39.8261,73.09,62,67,6.22,SA,1673196521
Jieshi,22.8134,115.8257,63.93,66,98,12.68,CN,1673196703
General Pico,-35.6566,-63.7568,102.38,14,0,10.27,AR,1673196705
Impfondo,1.6381,18.0667,83.46,32,72,2.3,CG,1673196706
Esil,51.9556,66.4042,-17.86,97,97,10.83,KZ,1673196707
Province of Groningen,53.25,6.75,47.03,85,93,8.05,NL,1673196539
Fairbanks,64.8378,-147.7164,5.0,78,100,0.0,US,1673196694
Kabansk,52.0486,106.6528,7.57,87,12,5.48,RU,1673196711
Ahipara,-35.1667,173.1667,66.0,91,60,8.75,NZ,1673196712
Wanning,18.8003,110.3967,66.87,93,100,7.74,CN,1673196713
Mananjary,-21.2167,48.3333,79.29,81,37,10.2,MG,1673196715
Lagunas,-5.2269,-75.6753,88.93,47,80,5.37,PE,1673196716
Beira,-19.8436,34.8389,73.49,88,100,9.51,MZ,1673196717
Seoul,37.5683,126.9778,37.0,68,75,5.75,KR,1673196709
Coihueco,-36.6167,-71.8333,77.74,44,0,5.75,CL,1673196720
Askiz,53.1319,90.5264,13.55,88,100,5.3,RU,1673196721
Umm Hājar,13.2954,19.6966,80.35,12,98,8.79,TD,1673196723
Terney,45.0503,136.6092,16.45,71,100,7.49,RU,1673196724
Thunder Bay,48.4001,-89.3168,13.98,85,75,2.3,CA,1673196726
College,64.8569,-147.8028,4.98,78,100,0.0,US,1673196727
Kisumu,-0.1022,34.7617,74.44,61,68,3.22,KE,1673196628
Salinas,36.6777,-121.6555,55.15,89,0,5.75,US,1673196666
Cortez,37.3489,-108.5859,39.7,69,0,3.44,US,1673196730
Huarmey,-10.0681,-78.1522,74.28,72,55,9.66,PE,1673196732
Kazachinskoye,57.6953,93.2761,24.33,93,100,4.99,RU,1673196733
Mariehamn,60.0973,19.9348,37.26,93,100,18.41,AX,1673196735
Sørland,67.667,12.6934,39.06,67,100,24.02,NO,1673196736
Schladming,47.3929,13.687,36.39,89,97,5.44,AT,1673196737
Lagunillas,10.1301,-71.2595,83.55,67,99,7.72,VE,1673196739
Itoman,26.1247,127.6694,60.82,72,100,3.44,JP,1673196740
Bairiki Village,1.3292,172.9752,80.6,83,20,9.22,KI,1673196741
Utica,43.1009,-75.2327,29.73,84,2,5.79,US,1673196512
Denpasar,-8.65,115.2167,80.26,83,40,8.05,ID,1673196581
Cap Malheureux,-19.9842,57.6142,79.47,68,2,5.01,MU,1673196745
Maragogi,-9.0122,-35.2225,83.46,61,56,10.8,BR,1673196746
Manaus,-3.1019,-60.025,86.49,70,75,4.61,BR,1673196660
Iracemápolis,-22.5806,-47.5186,83.71,60,85,7.67,BR,1673196749
Santa Cruz de la Sierra,-17.8,-63.1667,91.45,46,40,5.75,BO,1673196705
Calamar,10.2511,-74.9146,91.02,46,1,7.94,CO,1673196751
Pierre,44.3683,-100.351,22.05,90,0,3.44,US,1673196697
Katsina,12.9894,7.6006,84.09,26,0,12.66,NG,1673196753
Chimbote,-9.0853,-78.5783,73.45,69,42,9.64,PE,1673196755
Vila Franca do Campo,37.7167,-25.4333,63.01,81,31,10.25,PT,1673196756
Shakawe,-18.3667,21.85,84.24,27,99,7.23,BW,1673196757
Nouakchott,18.0858,-15.9785,78.73,29,100,11.97,MR,1673196706
Callaway,30.153,-85.5699,69.91,58,0,8.05,US,1673196760
Zima,53.9202,102.0442,9.19,95,97,5.39,RU,1673196761
São José da Coroa Grande,-8.8978,-35.1478,83.32,62,65,10.56,BR,1673196763
Iracoubo,5.4802,-53.2011,78.17,88,87,9.91,GF,1673196764
Inhambane,-23.865,35.3833,73.38,88,75,9.22,MZ,1673196765
Deniliquin,-35.5333,144.9667,74.21,28,25,3.0,AU,1673196766
Hollins,37.3413,-79.9431,36.48,78,100,5.75,US,1673196768
San Ramon,37.7799,-121.978,56.28,89,75,6.91,US,1673196769
Verkhnyaya Inta,65.9811,60.3094,-33.48,99,58,5.26,RU,1673196770
